,Selection,Crossover,Mutation,Run,Gens_Best_Fitness
0,fitness_proportionate_selection,pmx_crossover,n_swap_mutation,1,"[1.3030078238191827, 1.4658330918574325, 1.4658330918574325, 1.4658330918574325, 1.4658330918574325, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.4865473775717184, 1.489290060851927, 1.489290060851927, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5300043465662125, 1.5400043465662128, 1.5400043465662128, 1.54214720370907, 1.54214720370907, 1.54214720370907, 1.54214720370907, 1.54214720370907, 1.54214720370907, 1.54214720370907, 1.5817444219066936, 1.5817444219066936, 1.5817444219066936, 1.5817444219066936, 1.5817444219066936, 1.5817444219066936, 1.5817444219066936, 1.5817444219066936, 1.5817444219066936, 1.602944074181397, 1.602944074181397, 1.602944074181397, 1.602944074181397, 1.602944074181397, 1.602944074181397, 1.602944074181397, 1.602944074181397, 1.602944074181397]"
1,fitness_proportionate_selection,pmx_crossover,n_swap_mutation,2,"[1.2883236742973052, 1.2883236742973052, 1.2897797739785568, 1.3002926687916547, 1.3002926687916547, 1.3002926687916547, 1.3116980585337583, 1.3116980585337583, 1.3116980585337583, 1.3142581860330338, 1.32266444508838, 1.32266444508838, 1.4036902347145754, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5015473775717183, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.5186308316430024, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342, 1.541144595769342]"
2,fitness_proportionate_selection,pmx_crossover,n_swap_mutation,3,"[1.2524355259345117, 1.2524355259345117, 1.2524355259345117, 1.2750086931324254, 1.2933468559837729, 1.302274702984642, 1.302274702984642, 1.3281773399014778, 1.3281773399014778, 1.3358649666763256, 1.3433468559837727, 1.3433468559837727, 1.3433468559837727, 1.3852883222254417, 1.4169182845552013, 1.4169182845552013, 1.4169182845552013, 1.463630831643002, 1.463630831643002, 1.4779165459287162, 1.4779165459287162, 1.4779165459287162, 1.4779165459287162, 1.4779165459287162, 1.4779165459287162, 1.4779165459287162, 1.4779165459287162, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.4872022602144308, 1.506487974500145, 1.506487974500145, 1.506487974500145, 1.506487974500145, 1.506487974500145, 1.506487974500145, 1.506487974500145, 1.506487974500145, 1.506487974500145, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448, 1.5114879745001448]"
3,fitness_proportionate_selection,pmx_crossover,n_swap_mutation,4,"[1.2626644450883802, 1.2626644450883802, 1.265521587945523, 1.2891248913358444, 1.3483787308026658, 1.3483787308026658, 1.3483787308026658, 1.3483787308026658, 1.3483787308026658, 1.3634888438133874, 1.4543451173572877, 1.4543451173572877, 1.4543451173572877, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.474345117357288, 1.4879165459287162, 1.4879165459287162, 1.4879165459287162, 1.4879165459287162, 1.4879165459287162, 1.4879165459287162, 1.4879165459287162, 1.4879165459287162, 1.4879165459287162, 1.4879165459287162, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.4926600985221674, 1.526231527093596, 1.526231527093596, 1.526231527093596, 1.526231527093596, 1.526231527093596, 1.526231527093596, 1.526231527093596, 1.526231527093596, 1.526231527093596, 1.526231527093596, 1.526231527093596, 1.526231527093596, 1.526231527093596, 1.5364879745001447, 1.5379165459287163, 1.5379165459287163, 1.5500594030715735, 1.5500594030715735, 1.5500594030715735, 1.5500594030715735, 1.5500594030715735, 1.5500594030715735, 1.5500594030715735, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.553630831643002, 1.5679165459287163]"
4,fitness_proportionate_selection,pmx_crossover,n_swap_mutation,5,"[1.3223254129237902, 1.3223254129237902, 1.3272935381048971, 1.3272935381048971, 1.3272935381048971, 1.360604172703564, 1.3688046942915095, 1.3688046942915095, 1.3688046942915095, 1.3688046942915095, 1.4095189800057955, 1.4095189800057955, 1.4095189800057955, 1.4095189800057955, 1.4095189800057955, 1.4095189800057955, 1.4095189800057955, 1.4095189800057955, 1.4095189800057955, 1.4095189800057955, 1.4095189800057955, 1.4095189800057955, 1.4095189800057955, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4116618371486525, 1.4138046942915097, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4538872790495507, 1.4617444219066935, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.499716024340771, 1.507573167197914, 1.507573167197914, 1.507573167197914, 1.507573167197914, 1.507573167197914, 1.507573167197914, 1.507573167197914, 1.507573167197914, 1.507573167197914, 1.507573167197914, 1.507573167197914, 1.507573167197914, 1.507573167197914, 1.507573167197914, 1.507573167197914, 1.507573167197914]"
5,fitness_proportionate_selection,pmx_crossover,n_swap_mutation,6,"[1.2853477252970151, 1.3382048681541583, 1.3382048681541583, 1.3382048681541583, 1.3382048681541583, 1.3382048681541583, 1.3382048681541583, 1.3682048681541583, 1.3682048681541583, 1.3682048681541583, 1.3682048681541583, 1.3682048681541583, 1.3682048681541583, 1.3682048681541583, 1.3682048681541583, 1.3952883222254417, 1.3952883222254417, 1.3952883222254417, 1.3952883222254417, 1.3952883222254417, 1.3952883222254417, 1.3952883222254417, 1.3952883222254417, 1.3952883222254417, 1.3952883222254417, 1.4195740365111562, 1.4195740365111562, 1.4195740365111562, 1.4195740365111562, 1.4363735149232104, 1.4631454650825848, 1.4631454650825848, 1.4631454650825848, 1.4631454650825848, 1.4631454650825848, 1.4631454650825848, 1.4631454650825848, 1.4631454650825848, 1.4631454650825848, 1.4631454650825848, 1.4631454650825848, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002, 1.468630831643002]"
6,fitness_proportionate_selection,pmx_crossover,n_swap_mutation,7,"[1.328007823819183, 1.3562909301651696, 1.3562909301651696, 1.3562909301651696, 1.3741480730223123, 1.3741480730223123, 1.3741480730223123, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.380604172703564, 1.4084613155607069, 1.4084613155607069, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4222935381048971, 1.4237221095334687, 1.4280078238191827, 1.4280078238191827, 1.4280078238191827, 1.4358649666763257, 1.4358649666763257, 1.4358649666763257, 1.4358649666763257, 1.4358649666763257, 1.4358649666763257, 1.4358649666763257, 1.4358649666763257, 1.4358649666763257, 1.4358649666763257, 1.470375253549696, 1.470375253549696, 1.470375253549696, 1.470375253549696, 1.470375253549696, 1.470375253549696, 1.470375253549696, 1.470375253549696, 1.470375253549696, 1.470375253549696, 1.470375253549696, 1.470375253549696, 1.4833468559837728, 1.4833468559837728, 1.4833468559837728, 1.4833468559837728, 1.4833468559837728, 1.4833468559837728, 1.4833468559837728, 1.4833468559837728, 1.4833468559837728, 1.4833468559837728, 1.4833468559837728, 1.4833468559837728, 1.4833468559837728, 1.4833468559837728, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016, 1.4869182845552016]"
7,fitness_proportionate_selection,pmx_crossover,n_swap_mutation,8,"[1.2583830773688787, 1.2864416111272092, 1.2864416111272092, 1.2864416111272092, 1.2864416111272092, 1.2864416111272092, 1.2864416111272092, 1.2864416111272092, 1.2892987539843523, 1.3267255867864387, 1.3267255867864387, 1.3267255867864387, 1.3766111272095043, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4177789046653144, 1.4299217618081717, 1.446350333236743, 1.446350333236743, 1.446350333236743, 1.446350333236743, 1.446350333236743, 1.446350333236743, 1.446350333236743, 1.446350333236743, 1.446350333236743, 1.446350333236743, 1.446350333236743, 1.446350333236743, 1.446350333236743, 1.4556360475224572, 1.4556360475224572, 1.4556360475224572, 1.4556360475224572, 1.4556360475224572, 1.4556360475224572, 1.4556360475224572, 1.4556360475224572, 1.4556360475224572, 1.4556360475224572, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.4593538104897132, 1.5073485946102578, 1.5073485946102578, 1.5073485946102578, 1.5073485946102578, 1.5073485946102578, 1.5073485946102578, 1.5073485946102578, 1.5073485946102578, 1.5073485946102578, 1.5073485946102578, 1.5073485946102578, 1.5073485946102578, 1.5073485946102578, 1.5073485946102578, 1.5351188061431469, 1.5351188061431469, 1.5351188061431469, 1.5351188061431469, 1.5351188061431469]"
8,fitness_proportionate_selection,pmx_crossover,n_swap_mutation,9,"[1.2436627064618953, 1.2867487684729064, 1.2867487684729064, 1.3037815126050418, 1.3037815126050418, 1.3037815126050418, 1.3037815126050418, 1.3037815126050418, 1.3037815126050418, 1.3037815126050418, 1.3037815126050418, 1.3303245436105477, 1.3303245436105477, 1.3303245436105477, 1.3303245436105477, 1.3303245436105477, 1.3303245436105477, 1.3739466821211244, 1.3739466821211244, 1.3739466821211244, 1.3739466821211244, 1.3739466821211244, 1.3739466821211244, 1.3739466821211244, 1.3739466821211244, 1.3956317009562444, 1.3956317009562444, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.4363459866705304, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551, 1.453887279049551]"
9,fitness_proportionate_selection,pmx_crossover,n_swap_mutation,10,"[1.2453201970443348, 1.2453201970443348, 1.2779527673138222, 1.2779527673138222, 1.2779527673138222, 1.2779527673138222, 1.2779527673138222, 1.2779527673138222, 1.2779527673138222, 1.307348594610258, 1.307348594610258, 1.307348594610258, 1.307348594610258, 1.307348594610258, 1.307348594610258, 1.307348594610258, 1.307348594610258, 1.307348594610258, 1.307348594610258, 1.307348594610258, 1.307348594610258, 1.3577195015937407, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4166299623297594, 1.4230585337583308, 1.4230585337583308, 1.4230585337583308, 1.428058533758331, 1.428058533758331, 1.428058533758331, 1.4502013909011882, 1.4502013909011882, 1.4502013909011882, 1.4502013909011882, 1.4502013909011882, 1.4502013909011882, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595, 1.4616299623297595]"
