,Selection,Crossover,Mutation,Run,Gens_Best_Fitness
0,tournament_selection,pmx_crossover,n_swap_mutation,1,"[1.2769501593740944, 1.313442480440452, 1.342087800637496, 1.3942306577803536, 1.3942306577803536, 1.4215749058243987, 1.4487177629672559, 1.4487177629672559, 1.4487177629672559, 1.4973167197913648, 1.5117444219066938, 1.5587452912199362, 1.5587452912199362, 1.5587452912199362, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5592306577803532, 1.5878296146044626, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768, 1.6021153288901768]"
1,tournament_selection,pmx_crossover,n_swap_mutation,2,"[1.3259750796870469, 1.3792625325992465, 1.3792625325992465, 1.4121747319617501, 1.4464053897421036, 1.4464053897421036, 1.4531179368299043, 1.4531179368299043, 1.492833961170675, 1.492833961170675, 1.492833961170675, 1.493630831643002, 1.5150594030715734, 1.5150594030715734, 1.5150594030715734, 1.5150594030715734, 1.5150594030715734, 1.5150594030715734, 1.5150594030715734, 1.5150594030715734, 1.5150594030715734, 1.5150594030715734, 1.5308881483627934, 1.551602434077079, 1.551602434077079, 1.551602434077079, 1.5651738626485077, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.569459576934222, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506, 1.5780310055056506]"
2,tournament_selection,pmx_crossover,n_swap_mutation,3,"[1.254069834830484, 1.3119269776876268, 1.3119269776876268, 1.3682642712257316, 1.3682642712257316, 1.3858330918574326, 1.3858330918574326, 1.3858330918574326, 1.3858330918574326, 1.3858330918574326, 1.3986902347145755, 1.3986902347145755, 1.4136902347145752, 1.4136902347145752, 1.4136902347145752, 1.4386902347145756, 1.4386902347145756, 1.4386902347145756, 1.4386902347145756, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.459404520428861, 1.4765473775717184, 1.4765473775717184, 1.4765473775717184, 1.4765473775717184, 1.4765473775717184, 1.4765473775717184, 1.4765473775717184, 1.4765473775717184, 1.4765473775717184, 1.4772616632860038, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.479404520428861, 1.489404520428861, 1.489404520428861, 1.489404520428861, 1.489404520428861, 1.512261663286004, 1.512261663286004, 1.5172616632860039, 1.5172616632860039, 1.5172616632860039, 1.5172616632860039, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5308330918574324, 1.5508330918574325, 1.5736902347145754, 1.5736902347145754, 1.5736902347145754, 1.5736902347145754]"
3,tournament_selection,pmx_crossover,n_swap_mutation,4,"[1.328291799478412, 1.328291799478412, 1.3356317009562444, 1.3790060851926977, 1.3790060851926977, 1.3790060851926977, 1.4065198493190378, 1.4170602723848158, 1.428662706461895, 1.4542031295276732, 1.4925775137641266, 1.5127745580991014, 1.5134888438133873, 1.5338597507968703, 1.5338597507968703, 1.5338597507968703, 1.5338597507968703, 1.5338597507968703, 1.534574036511156, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5388597507968702, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848, 1.5681454650825848]"
4,tournament_selection,pmx_crossover,n_swap_mutation,5,"[1.3001188061431468, 1.3001188061431468, 1.4284613155607069, 1.4284613155607069, 1.4284613155607069, 1.4500912778904664, 1.4657186322804985, 1.4657186322804985, 1.4657186322804985, 1.4964329179947842, 1.4964329179947842, 1.5042900608519267, 1.5042900608519267, 1.5042900608519267, 1.5200043465662125, 1.5200043465662125, 1.5200043465662125, 1.5200043465662125, 1.5200043465662125, 1.5200043465662125, 1.5200043465662125, 1.5200043465662125, 1.5200043465662125, 1.5200043465662125, 1.5200043465662125, 1.5200043465662125, 1.5200043465662125, 1.5200043465662125, 1.5412039988409156, 1.5412039988409156, 1.5412039988409156, 1.5412039988409156, 1.5412039988409156, 1.5412039988409156, 1.5412039988409156, 1.5412039988409156, 1.5412039988409156, 1.5412039988409156, 1.5412039988409156, 1.5412039988409156, 1.5412039988409156, 1.5412039988409156, 1.546231527093596, 1.546231527093596, 1.546231527093596, 1.546231527093596, 1.546231527093596, 1.546231527093596, 1.546231527093596, 1.546231527093596, 1.546231527093596, 1.546231527093596, 1.546231527093596, 1.546231527093596, 1.546231527093596, 1.5569458128078817, 1.5569458128078817, 1.5626600985221675, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5855172413793102, 1.5898029556650246]"
5,tournament_selection,pmx_crossover,n_swap_mutation,6,"[1.2368168646769053, 1.2659837728194725, 1.3233236742973051, 1.369610257896262, 1.369610257896262, 1.4388959721819763, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4805766444508837, 1.4972022602144306, 1.501487974500145, 1.501487974500145, 1.5322022602144307, 1.5322022602144307, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.5372022602144306, 1.550773688785859, 1.550773688785859, 1.5614879745001446, 1.5614879745001446, 1.5614879745001446, 1.5614879745001446, 1.5614879745001446, 1.5614879745001446, 1.5614879745001446, 1.5614879745001446, 1.5614879745001446, 1.5614879745001446, 1.5614879745001446, 1.5614879745001446, 1.5614879745001446, 1.5893451173572877, 1.5893451173572877, 1.5893451173572877, 1.5893451173572877, 1.5893451173572877, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.6043451173572876, 1.633630831643002, 1.633630831643002, 1.633630831643002, 1.633630831643002, 1.633630831643002, 1.633630831643002, 1.633630831643002, 1.633630831643002, 1.633630831643002]"
6,tournament_selection,pmx_crossover,n_swap_mutation,7,"[1.2634931903796, 1.3443494639235003, 1.3876050420168065, 1.4106317009562446, 1.4106317009562446, 1.4106317009562446, 1.4504621848739494, 1.4504621848739494, 1.4734888438133873, 1.4734888438133873, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.491602434077079, 1.5094595769342218, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.5123167197913647, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814, 1.553429440741814]"
7,tournament_selection,pmx_crossover,n_swap_mutation,8,"[1.2516067806432916, 1.2824079976818314, 1.3089742103738045, 1.3220878006374963, 1.3726876267748478, 1.3726876267748478, 1.3812590553462765, 1.3893451173572875, 1.4620878006374962, 1.4631454650825848, 1.5079165459287163, 1.5079165459287163, 1.5114879745001448, 1.5205172413793104, 1.5205172413793104, 1.5519458128078818, 1.5519458128078818, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5769182845552014, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443, 1.5797754274123443]"
8,tournament_selection,pmx_crossover,n_swap_mutation,9,"[1.3271747319617502, 1.3300318748188928, 1.3490017386264852, 1.3750318748188928, 1.3750318748188928, 1.3750318748188928, 1.4261170675166617, 1.4636308316430018, 1.4689742103738046, 1.492060272384816, 1.5125456389452334, 1.5132599246595189, 1.5345189800057955, 1.5425456389452332, 1.5425456389452332, 1.5425456389452332, 1.5425456389452332, 1.5425456389452332, 1.5425456389452332, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.5468313532309477, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927, 1.559290060851927]"
9,tournament_selection,pmx_crossover,n_swap_mutation,10,"[1.3696884960880904, 1.3796884960880904, 1.3796884960880904, 1.3811170675166617, 1.453974210373805, 1.453974210373805, 1.4904027818023762, 1.4904027818023762, 1.496117067516662, 1.5104027818023762, 1.5240017386264852, 1.5240017386264852, 1.5268588814836281, 1.556858881483628, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5711445957693422, 1.5782874529121993, 1.5782874529121993, 1.5782874529121993, 1.5782874529121993, 1.5782874529121993, 1.5811445957693422, 1.5811445957693422, 1.6018588814836279, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423, 1.6061445957693423]"
